id,created_at,text,tweetlink,created_at_date,reason,train_line,blame
846803392018235394,2017-03-28 15:17:16,RVL train #5742 the 3:00pm from High Bridge is up to 15 min. late due to an operational issue.,https://twitter.com/NJTRANSIT_RVL/status/846803392018235394,2017-03-28 15:17:16,due to an operational issue,RVL,NJT operational issues
846769911569547264,2017-03-28 13:04:13,"RVL train #5123, the 12:51pm from Bound Brook is up to 15 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/846769911569547264,2017-03-28 13:04:13,due to track maintenance,RVL,
846755707307229184,2017-03-28 12:07:47,"RVL train #5121, the 11:52am from Bridgewater is up to 15 min. late due to track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/846755707307229184,2017-03-28 12:07:47,due to track maintenance,RVL,
846745439311466498,2017-03-28 11:26:59,"RVL train #5719 the 11:16am from White House is up to 15 min. late, due to earlier track maintenance.",https://twitter.com/NJTRANSIT_RVL/status/846745439311466498,2017-03-28 11:26:59,due to earlier track maintenance,RVL,
846513619361771520,2017-03-27 20:05:48,"RVL train #5447, 7:00pm from NPS, was CANCELLED due to an earlier signal problem. Customers to #5749, the 7:35pm from NPS.",https://twitter.com/NJTRANSIT_RVL/status/846513619361771520,2017-03-27 20:05:48,due to an earlier signal problem,RVL,NJT signal problem
846512316636114944,2017-03-27 20:00:38,"RVL train #5445, the 6:33pm from NPS, is up to 85 min. late due to an earlier signal problem.",https://twitter.com/NJTRANSIT_RVL/status/846512316636114944,2017-03-27 20:00:38,due to an earlier signal problem,RVL,NJT signal problem
846510292913795072,2017-03-27 19:52:35,"RVL train #5749, the 7:35pm from NPS, is up to 45 min. late due to an earlier signal problem.",https://twitter.com/NJTRANSIT_RVL/status/846510292913795072,2017-03-27 19:52:35,due to an earlier signal problem,RVL,NJT signal problem
846507489457836033,2017-03-27 19:41:27,"RVL train #5150, the 7:21pm from Roselle Park, is up to 20 min. late due to an earlier signal problem.",https://twitter.com/NJTRANSIT_RVL/status/846507489457836033,2017-03-27 19:41:27,due to an earlier signal problem,RVL,NJT signal problem
846504717119361024,2017-03-27 19:30:26,RVL rail service has been restored between Union Station and Newark Penn Station with residual delay... https://t.co/xLShO9aIcS,https://twitter.com/NJTRANSIT_RVL/status/846504717119361024,2017-03-27 19:30:26,,RVL,
846497364122701824,2017-03-27 19:01:13,"RVL train #5746, the 6:08pm from Union station, is CANCELLED due to a signal problem ahead.",https://twitter.com/NJTRANSIT_RVL/status/846497364122701824,2017-03-27 19:01:13,due to a signal problem ahead,RVL,NJT signal problem
846496208575238144,2017-03-27 18:56:37,RVL rail service is suspended between Union Station and Newark Penn Station due to a signal problem near Newark Penn station.  1 of 1,https://twitter.com/NJTRANSIT_RVL/status/846496208575238144,2017-03-27 18:56:37,due to a signal problem near Newark Penn station,RVL,NJT signal problem
846378262255284224,2017-03-27 11:07:57,"RVL train #5121, the 11:06am from Newark Penn Station is up to 15 min. late due to a signal problem.",https://twitter.com/NJTRANSIT_RVL/status/846378262255284224,2017-03-27 11:07:57,due to a signal problem,RVL,NJT signal problem
846335669937082369,2017-03-27 08:18:42,"NEC, NJCL, RVL, and MidTown Direct trains are subject to 15 minute delays in and out of NYPS due to ... https://t.co/xLShO9aIcS",https://twitter.com/NJTRANSIT_RVL/status/846335669937082369,2017-03-27 08:18:42,due to ,RVL,
